1,'Aeroport-Ciutat-Port'
2,'Circumval·lació Centre Històric'
3,'Es Pont d\'Inca - Illetes'
5,'Es Rafal Nou-Son Dureta'
6,'Polígon de Llevant - Can Valero'
7,'Son Rapinya - Son Gotleu'
8,'Son Roca'
9,'Son Espanyol'
10,'Son Cladera - Sa Indioteria'
11,'Sa Indioteria'
12,'Son Sardina - Polígon de Llevant'
14,'Son Ferriol'
15,'Platja de Palma - Plaça de la Reina'
16,'Establiments-Son Fuster'
18,'Son Riera'
19,'Universitat'
20,'Sant Agustí- Son Espases'
21,'S\'Arenal - Aeropuerto'
23,'Palma-S\'Arenal-Cala Blava IB-29'
24,'Son Llàtzer-Son Hugo'
25,'Platja de Palma per autopista'
28,'Son Llàtzer circular'
29,'Circular Son Espases'
30,'Sant Joan de Déu'
31,'Palma-S\'Aranjassa-Sant Jordi'
33,'Son Espases'
34,'Son Espases-Es Rafal'
41,'Bus de Nit'
46,'Gènova - Sant Agustí'
50,'Bus Turístic'
